wavelengths,power_meas,std_power_meas
557.0,7.2823966389e-08,6.099601127293349e-11
558.0,7.2845085703e-08,7.003688389189571e-11
559.0,7.287440468199999e-08,6.874125950911771e-11
560.0,7.2911301605e-08,6.713459938416535e-11
561.0,7.297515823099999e-08,6.894236438288751e-11
562.0,7.304659405e-08,7.000607000653098e-11
563.0,7.312933390699999e-08,6.444155945291239e-11
564.0,7.323182629e-08,6.733784341438212e-11
565.0,7.3352955638e-08,6.875220385210124e-11
566.0,7.3481040763e-08,6.647342821229877e-11
567.0,7.3632110685e-08,6.596455938830999e-11
568.0,7.378305454999999e-08,6.928445275060033e-11
569.0,7.3960834895e-08,6.510275759725586e-11
570.0,7.415960965700002e-08,6.67193591191838e-11
571.0,7.4359999618e-08,6.986717539622164e-11
572.0,7.4568466034e-08,6.717115696537091e-11
573.0,7.480028642500001e-08,6.665490709192084e-11
574.0,7.5029747958e-08,6.522322280526879e-11
575.0,7.529200687300002e-08,6.940813729532157e-11
576.0,7.555053870000001e-08,6.822475196708011e-11
577.0,7.5817269895e-08,6.403498067596108e-11
578.0,7.6119408029e-08,6.638079310796756e-11
579.0,7.6399059733e-08,7.156117980177787e-11
580.0,7.6708651312e-08,7.030971970057566e-11
581.0,7.702035475199999e-08,6.748709614569518e-11
582.0,7.734013378800001e-08,6.699120517806541e-11
583.0,7.7677057957e-08,6.764471904776455e-11
584.0,7.8004167676e-08,6.809999927261497e-11
585.0,7.8356247145e-08,7.155059132998662e-11
586.0,7.869230230800001e-08,6.818719430880672e-11
587.0,7.9049973186e-08,6.379668878609212e-11
588.0,7.941323375000001e-08,6.717894676526371e-11
589.0,7.977227270299999e-08,6.789918698393579e-11
590.0,8.0139260785e-08,6.349172698759369e-11
591.0,8.051680963999999e-08,6.658382871931827e-11
592.0,8.088826830800001e-08,6.690381853493269e-11
593.0,8.1258115045e-08,6.350576866220577e-11
594.0,8.164373838699999e-08,6.644007994715788e-11
595.0,8.203619472099999e-08,6.68057435270461e-11
596.0,8.2416973865e-08,6.356092234116489e-11
597.0,8.2794397544e-08,6.757089837739447e-11
598.0,8.318064174700003e-08,6.78280150431227e-11
599.0,8.3585273956e-08,6.805036766222188e-11
600.0,8.397698551200003e-08,6.88667237068547e-11
601.0,8.4382609624e-08,6.99249535941959e-11
602.0,8.476935107800001e-08,6.507452885820331e-11
603.0,8.515609366600001e-08,6.351863156795494e-11
604.0,8.556507295700001e-08,6.556406683509045e-11
605.0,8.596138059299998e-08,6.627372847565283e-11
